model,mae,rmse,mape_percent,smape_percent,n_train_all,n_train_used,n_test
IRFKriging,21.73470456166967,27.24444517485721,653.6381341762387,57.644108249620544,540,180,136
SeasonalNaive,19.477205882352937,29.09642564464092,94.52418558210773,50.3776840840998,540,180,136
MovingAverage,62.5919086156769,71.97777136575792,2326.746342661984,91.6074663313909,540,180,136
NaiveLast,64.34191176470588,74.22763131071879,2399.1098696618324,92.2245341505275,540,180,136
PolynomialRegression,537.7989827089409,609.0390702703216,10370.214366137034,162.2195554412416,540,180,136
